міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
өзінше	өз:ROOT/ін:MORPH/ше:MORPH
яғни	яғни:ROOT
ақиқаттың	ақиқат:ROOT/тың:MORPH
Құбылыстардың	Құбылыс:ROOT/тар:MORPH/дың:MORPH
мұндай	мұн:ROOT/дай:MORPH
алатын	ал:ROOT/атын:MORPH
пен	пен:ROOT
нәтижесі	нәтиже:ROOT/сі:MORPH
шешендік	шешен:ROOT/дік:MORPH
ашық	ашық:ROOT
табиғи	табиғ:ROOT/и:MORPH
Олар	О:ROOT/лар:MORPH
айтылмаған	айт:ROOT/ыл:MORPH/ма:MORPH/ған:MORPH
жазу	жаз:ROOT/у:MORPH
дүниені	дүние:ROOT/ні:MORPH
құштарлық	құштар:ROOT/лық:MORPH
бейбітшілікке	бейбіт:ROOT/ші:MORPH/лік:MORPH/ке:MORPH
дағдыланған	дағды:ROOT/лан:MORPH/ған:MORPH
алмастыруға	алмас:ROOT/тыр:MORPH/у:MORPH/ға:MORPH
туралы	туралы:ROOT
көреді	көр:ROOT/е:MORPH/ді:MORPH
заманғы	заман:ROOT/ғы:MORPH
ол	ол:ROOT
алдымен	алды:ROOT/мен:MORPH
болмысы	бол:ROOT/мыс:MORPH/ы:MORPH
сезу	сез:ROOT/у:MORPH
өте	өте:ROOT
айтты	айт:ROOT/ты:MORPH
үшін	үшін:ROOT
мен	мен:ROOT
эмоциялы	эмоция:ROOT/лы:MORPH
Әсемдік	Әсем:ROOT/дік:MORPH
түйінін	түйін:ROOT/і:MORPH/н:MORPH
оның	о:ROOT/ның:MORPH
ұрыста	ұрыс:ROOT/та:MORPH
философтың	философ:ROOT/тың:MORPH
ала	ала:ROOT
қалжыңдасқан	қалжың:ROOT/дас:MORPH/қан:MORPH
Плотин	Плотин:ROOT
Аристофанға	Аристофан:ROOT/ға:MORPH
алатын	ал:ROOT/атын:MORPH
босай	боса:ROOT/й:MORPH
Бірнеше	Бірнеше:ROOT
даналықтың	дана:ROOT/лықт:MORPH/ың:MORPH
қатар	қатар:ROOT
аудармасын	аудар:ROOT/ма:MORPH/сын:MORPH
аталған	ата:ROOT/л:MORPH/ған:MORPH
жеткілікті	жеткі:ROOT/лік:MORPH/ті:MORPH
елдегі	ел:ROOT/де:MORPH/гі:MORPH
Қарапайым	Қарапайым:ROOT
Агафонға	Агафон:ROOT/ға:MORPH
Париждегі	Париж:ROOT/де:MORPH/гі:MORPH
жазылған	жаз:ROOT/ыл:MORPH/ған:MORPH
педагогикалық	педагогика:ROOT/лық:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
жетпей	жет:ROOT/пе:MORPH/й:MORPH
ол	ол:ROOT
олармен	о:ROOT/лар:MORPH/мен:MORPH
басында	бас:ROOT/ын:MORPH/да:MORPH
Локк	Локк:ROOT
астар	астар:ROOT
береді	бер:ROOT/е:MORPH/ді:MORPH
елеусіз	еле:ROOT/у:MORPH/сіз:MORPH
мойындаған	мойын:ROOT/да:MORPH/ған:MORPH
көргеніміздей	көр:ROOT/ген:MORPH/іміз:MORPH/дей:MORPH
саясат	саясат:ROOT
үйлесімді	үйлес:ROOT/ім:MORPH/ді:MORPH
өтінеді	өтін:ROOT/е:MORPH/ді:MORPH
философ	философ:ROOT
тілінде	тіл:ROOT/і:MORPH/н:MORPH/де:MORPH
дегеніміз	де:ROOT/ген:MORPH/іміз:MORPH
ерекше	ерек:ROOT/ше:MORPH
хатында	хат:ROOT/ы:MORPH/н:MORPH/да:MORPH
тізбегі	тізбег:ROOT/і:MORPH
деп	деп:ROOT
ал	ал:ROOT
патша	патша:ROOT
диалогтың	диалог:ROOT/тың:MORPH
қалуды	қал:ROOT/у:MORPH/ды:MORPH
тағайындайды	тағай:ROOT/ын:MORPH/да:MORPH/й:MORPH/ды:MORPH
Локк	Локк:ROOT
жылы	жыл:ROOT/ы:MORPH
емдеу	емде:ROOT/у:MORPH
келеді	кел:ROOT/е:MORPH/ді:MORPH
әрқайсысының	әрқайсы:ROOT/сы:MORPH/ның:MORPH
тұрғысында	тұрғы:ROOT/сы:MORPH/н:MORPH/да:MORPH
көрсе	көр:ROOT/се:MORPH
ойдан	ой:ROOT/дан:MORPH
табу	таб:ROOT/у:MORPH
біздің	біз:ROOT/дің:MORPH
бұл	бұл:ROOT
тәртіпті	тәртіп:ROOT/ті:MORPH
түсініктің	түсінік:ROOT/тің:MORPH
Декарттың	Декарт:ROOT/тың:MORPH
рационализациялау	рационализация:ROOT/ла:MORPH/у:MORPH
жақын	жақын:ROOT
ден	ден:ROOT
іс	іс:ROOT
қайнар	қайна:ROOT/р:MORPH
байқағанымыздай	байқа:ROOT/ған:MORPH/ымыз:MORPH/дай:MORPH
бір	бір:ROOT
Сократтың	Сократ:ROOT/тың:MORPH
шығарып	шығар:ROOT/ып:MORPH
байыптауға	байып:ROOT/та:MORPH/у:MORPH/ға:MORPH
нені	не:ROOT/ні:MORPH
ғана	ғана:ROOT
Симпозиумда	Симпозиум:ROOT/да:MORPH
Себебі	Себебі:ROOT
дедуктивті	дедуктив:ROOT/ті:MORPH
артықшылығын	артық:ROOT/шылығ:MORPH/ын:MORPH
келген	кел:ROOT/ген:MORPH
Дегенмен	Де:ROOT/ген:MORPH/мен:MORPH
кәсіп	кәсіп:ROOT
іздеп	ізде:ROOT/п:MORPH
гөрі	гөрі:ROOT
нысанға	нысан:ROOT/ға:MORPH
Агафон	Агафон:ROOT
мен	мен:ROOT
атаған	ата:ROOT/ған:MORPH
баурап	баура:ROOT/п:MORPH
байқалады	байқ:ROOT/ал:MORPH/а:MORPH/ды:MORPH
жүзінде	жүз:ROOT/і:MORPH/н:MORPH/де:MORPH
кем	кем:ROOT
суырылып	суыр:ROOT/ыл:MORPH/ып:MORPH
беруі	бер:ROOT/у:MORPH/і:MORPH
зерттейді	зерт:ROOT/те:MORPH/й:MORPH/ді:MORPH
түсіреді	түсір:ROOT/е:MORPH/ді:MORPH
сатылы	саты:ROOT/лы:MORPH
Аристофанның	Аристофан:ROOT/ның:MORPH
тәржімесінде	тәржі:ROOT/ме:MORPH/сі:MORPH/н:MORPH/де:MORPH
интеллектуалды	интеллектуал:ROOT/ды:MORPH
Аугустиннен	Аугустин:ROOT/нен:MORPH
тұлға	тұлға:ROOT
достығы	достығ:ROOT/ы:MORPH
дұрысы	дұрыс:ROOT/ы:MORPH
ең	ең:ROOT
туралы	туралы:ROOT
ізгі	із:ROOT/гі:MORPH
жасөспірім	жасөспірім:ROOT
Декарт	Декарт:ROOT
нақты	нақты:ROOT
келген	кел:ROOT/ген:MORPH
білімі	білім:ROOT/і:MORPH
тәржімеленді	тәржі:ROOT/ме:MORPH/лен:MORPH/ді:MORPH
байыптау	байып:ROOT/та:MORPH/у:MORPH
әйгілі	әйгі:ROOT/лі:MORPH
Әлемді	Әлем:ROOT/ді:MORPH
органикалық	органика:ROOT/лық:MORPH
Сондықтан	Сондықтан:ROOT
данагөй	дана:ROOT/гөй:MORPH
ету	ет:ROOT/у:MORPH
ағылшын	ағылшын:ROOT
білдіретін	біл:ROOT/дір:MORPH/етін:MORPH
жазды	жаз:ROOT/ды:MORPH
өз	өз:ROOT
тұруға	тұр:ROOT/у:MORPH/ға:MORPH
және	және:ROOT
мәжбүрлеп	мәжбүр:ROOT/ле:MORPH/п:MORPH
айтып	айт:ROOT/ып:MORPH
қалу	қал:ROOT/у:MORPH
Сократтың	Сократ:ROOT/тың:MORPH
қарсыластары	қарсы:ROOT/лас:MORPH/тар:MORPH/ы:MORPH
әдіс	әдіс:ROOT
кітаптарын	кітап:ROOT/тар:MORPH/ы:MORPH/н:MORPH
кезде	кез:ROOT/де:MORPH
деген	де:ROOT/ген:MORPH
философ	философ:ROOT
адал	адал:ROOT
тұлғалардың	тұлға:ROOT/лар:MORPH/дың:MORPH
ойын	ой:ROOT/ы:MORPH/н:MORPH
жалғаса	жалғас:ROOT/а:MORPH
бұл	бұл:ROOT
Мұнда	Мұн:ROOT/да:MORPH
Ол	Ол:ROOT
аңғарылады	аңғар:ROOT/ыл:MORPH/а:MORPH/ды:MORPH
қарай	қара:ROOT/й:MORPH
бір	бір:ROOT
бағыт	бағыт:ROOT
дүниетанымында	дүниетаным:ROOT/ы:MORPH/н:MORPH/да:MORPH
толықтырады	толық:ROOT/тыр:MORPH/а:MORPH/ды:MORPH
қақпасын	қақпа:ROOT/сы:MORPH/н:MORPH
соған	со:ROOT/ған:MORPH
алғаналмағанын	ал:ROOT/ғанал:MORPH/ма:MORPH/ған:MORPH/ын:MORPH
сувереннің	суверен:ROOT/нің:MORPH
қарапайым	қарапайым:ROOT
қаһары	қаһар:ROOT/ы:MORPH
сезімдердің	сез:ROOT/ім:MORPH/дер:MORPH/дің:MORPH
деген	де:ROOT/ген:MORPH
қаламаған	қала:ROOT/ма:MORPH/ған:MORPH
болып	бол:ROOT/ып:MORPH
ұғымын	ұғым:ROOT/ы:MORPH/н:MORPH
таңғажайып	таңғажайып:ROOT
әділдікті	әділ:ROOT/дік:MORPH/ті:MORPH
шығуда	шығ:ROOT/у:MORPH/да:MORPH
пікірдің	пікір:ROOT/дің:MORPH
қолы	қол:ROOT/ы:MORPH
орган	орган:ROOT
бейнесі	бейне:ROOT/сі:MORPH
қарастырады	қарас:ROOT/тыр:MORPH/а:MORPH/ды:MORPH
келтіріп	кел:ROOT/тір:MORPH/іп:MORPH
мәнінде	мән:ROOT/і:MORPH/н:MORPH/де:MORPH
дәріс	дәріс:ROOT
сөз	сөз:ROOT
Бұл	Бұл:ROOT
адам	адам:ROOT
адамдардың	адам:ROOT/дар:MORPH/дың:MORPH
туралы	туралы:ROOT
сол	сол:ROOT
қабылдайды	қабыл:ROOT/да:MORPH/й:MORPH/ды:MORPH
бұл	бұл:ROOT
Декарттың	Декарт:ROOT/тың:MORPH
жүйесі	жүйе:ROOT/сі:MORPH
Алғашқы	Алғашқы:ROOT
Дегенмен	Де:ROOT/ген:MORPH/мен:MORPH
диалог	диалог:ROOT
Қанағат	Қанағат:ROOT
емес	е:ROOT/мес:MORPH
атқа	ат:ROOT/қа:MORPH
философының	философы:ROOT/ның:MORPH
басқаратын	басқар:ROOT/атын:MORPH
туралы	туралы:ROOT
Ол	Ол:ROOT
онда	он:ROOT/да:MORPH
шығармаға	шығ:ROOT/ар:MORPH/ма:MORPH/ға:MORPH
рефлексияға	рефлексия:ROOT/ға:MORPH
пікірінше	пікір:ROOT/і:MORPH/н:MORPH/ше:MORPH
баяндауға	баян:ROOT/да:MORPH/у:MORPH/ға:MORPH
ұсынады	ұсын:ROOT/а:MORPH/ды:MORPH
түсінікті	түсін:ROOT/ік:MORPH/ті:MORPH
Симпозиумнан	Симпозиум:ROOT/нан:MORPH
парасаттылық	парасат:ROOT/ты:MORPH/лық:MORPH
мәжбүр	мәжбүр:ROOT
Ол	Ол:ROOT
деген	де:ROOT/ген:MORPH
ойшыл	ой:ROOT/шыл:MORPH
салдарға	салдар:ROOT/ға:MORPH
ұмтылыс	ұмтылыс:ROOT
тәуелді	тәуел:ROOT/ді:MORPH
ымырамен	ымыра:ROOT/мен:MORPH
және	және:ROOT
ғана	ғана:ROOT
оқырманның	оқ:ROOT/ыр:MORPH/ман:MORPH/ның:MORPH
ол	ол:ROOT
дегеніміз	деген:ROOT/і:MORPH/міз:MORPH
байқампаздық	байқампаз:ROOT/дық:MORPH
пен	пен:ROOT
қатысушы	қатыс:ROOT/у:MORPH/шы:MORPH
сыртқы	сырт:ROOT/қы:MORPH
ол	ол:ROOT
туындаған	туын:ROOT/да:MORPH/ған:MORPH
ерік	ерік:ROOT
болуға	бол:ROOT/у:MORPH/ға:MORPH
арқылы	арқылы:ROOT
өз	өз:ROOT
шешіміне	шешім:ROOT/і:MORPH/не:MORPH
ақыл	ақыл:ROOT
осындай	осын:ROOT/дай:MORPH
Эросқа	Эрос:ROOT/қа:MORPH
де	де:ROOT
Локк	Локк:ROOT
бергенін	бер:ROOT/ген:MORPH/і:MORPH/н:MORPH
оның	о:ROOT/ның:MORPH
саласындағы	сала:ROOT/сы:MORPH/нда:MORPH/ғы:MORPH
қозғайды	қозға:ROOT/й:MORPH/ды:MORPH
дәуірдің	дәуір:ROOT/дің:MORPH
отырған	отыр:ROOT/ған:MORPH
дегеніміз	де:ROOT/ген:MORPH/іміз:MORPH
мен	мен:ROOT
көз	көз:ROOT
және	және:ROOT
ең	ең:ROOT
айтады	айт:ROOT/а:MORPH/ды:MORPH
II	II:ROOT
жарқырап	жарқ:ROOT/ыра:MORPH/п:MORPH
бұл	бұл:ROOT
бірбірін	бірбір:ROOT/і:MORPH/н:MORPH
тұжырымды	тұжырым:ROOT/ды:MORPH
хабар	хабар:ROOT
Құдайдың	Құдай:ROOT/дың:MORPH
сөздері	сөз:ROOT/дер:MORPH/і:MORPH
айтыстарынан	айт:ROOT/ыс:MORPH/тар:MORPH/ы:MORPH/нан:MORPH
Оның	О:ROOT/ның:MORPH
барысынан	барыс:ROOT/ы:MORPH/нан:MORPH
жауабы	жауаб:ROOT/ы:MORPH
Сократты	Сократ:ROOT/ты:MORPH
алады	ал:ROOT/а:MORPH/ды:MORPH
Ең	Ең:ROOT
еш	еш:ROOT
артық	артық:ROOT
көрсетілген	көрсетілген:ROOT
мен	мен:ROOT
формаларының	форма:ROOT/лар:MORPH/ы:MORPH/ның:MORPH
кедергі	кедергі:ROOT
Әрі	Әрі:ROOT
осы	осы:ROOT
Платонның	Платонның:ROOT
Дәлелді	Дәлел:ROOT/ді:MORPH
негізінде	негіз:ROOT/і:MORPH/н:MORPH/де:MORPH
шығармаларында	шығ:ROOT/ар:MORPH/ма:MORPH/лар:MORPH/ын:MORPH/д:MORPH/а:MORPH
сала	сала:ROOT
әртүрлі	әртүр:ROOT/лі:MORPH
түрлі	түр:ROOT/лі:MORPH
әсер	әсер:ROOT
көрсету	көрсет:ROOT/у:MORPH
объектілерін	объекті:ROOT/лер:MORPH/і:MORPH/н:MORPH
осындай	осын:ROOT/дай:MORPH
бірбіріне	бірбір:ROOT/і:MORPH/не:MORPH
бөлігінде	бөліг:ROOT/і:MORPH/нде:MORPH
Ал	Ал:ROOT
әжуалайды	әжуала:ROOT/й:MORPH/ды:MORPH
өйткені	өйткені:ROOT
де	де:ROOT
адал	адал:ROOT
бір	бір:ROOT
пайымдау	пайым:ROOT/да:MORPH/у:MORPH
диалогында	диалог:ROOT/ы:MORPH/нда:MORPH
бермесе	бер:ROOT/ме:MORPH/се:MORPH
содан	со:ROOT/дан:MORPH
түріндегі	түр:ROOT/і:MORPH/н:MORPH/де:MORPH/гі:MORPH
Сезімдерге	Сез:ROOT/ім:MORPH/дер:MORPH/ге:MORPH
оның	о:ROOT/ның:MORPH
жымдаса	жымда:ROOT/са:MORPH
пікірлерін	пікір:ROOT/лер:MORPH/і:MORPH/н:MORPH
жынысы	жыны:ROOT/сы:MORPH
таным	тан:ROOT/ым:MORPH
Мемлекет	Мемлекет:ROOT
Бастапқыда	Бастап:ROOT/қы:MORPH/да:MORPH
тілінде	тіл:ROOT/і:MORPH/н:MORPH/де:MORPH
оқиғаларды	оқиға:ROOT/лар:MORPH/ды:MORPH
саясат	саясат:ROOT
Бұдан	Бұ:ROOT/дан:MORPH
теріс	теріс:ROOT
яғни	яғни:ROOT
Декарт	Декарт:ROOT
да	да:ROOT
иррационалды	иррационал:ROOT/ды:MORPH
дүниенің	дүние:ROOT/нің:MORPH
қалдырды	қал:ROOT/дыр:MORPH/ды:MORPH
табудың	табу:ROOT/дың:MORPH
Мерсенн	Мерсенн:ROOT
философия	философия:ROOT
құмарлық	құмар:ROOT/лық:MORPH
көңілді	көңіл:ROOT/ді:MORPH
арқасында	арқа:ROOT/сы:MORPH/н:MORPH/да:MORPH
күштен	күш:ROOT/тен:MORPH
алдамшы	алдам:ROOT/шы:MORPH
мәнінде	мән:ROOT/і:MORPH/н:MORPH/де:MORPH
мақсаты	мақсат:ROOT/ы:MORPH
бағынатын	бағы:ROOT/н:MORPH/атын:MORPH
өнерінде	өнер:ROOT/і:MORPH/н:MORPH/де:MORPH
соң	соң:ROOT
тиген	ти:ROOT/ген:MORPH
арнаға	арна:ROOT/ға:MORPH
ізбасары	ізбасар:ROOT/ы:MORPH
идеологиялық	идеология:ROOT/лық:MORPH
теріске	теріс:ROOT/ке:MORPH
ұқсастығын	ұқсас:ROOT/тығ:MORPH/ы:MORPH/н:MORPH
Байлық	Бай:ROOT/лық:MORPH
мадақ	мадақ:ROOT
басты	бас:ROOT/ты:MORPH
көтерілу	көтер:ROOT/іл:MORPH/у:MORPH
ол	ол:ROOT
образдар	образ:ROOT/дар:MORPH
Платон	Платон:ROOT
өзінің	өз:ROOT/і:MORPH/нің:MORPH
сөзбен	сөз:ROOT/бен:MORPH
Бірақ	Бірақ:ROOT
данышпанның	данышпан:ROOT/ның:MORPH
махаббаты	махабба:ROOT/ты:MORPH
тұтас	тұтас:ROOT
ештеңе	ештеңе:ROOT
философиялық	философия:ROOT/лық:MORPH
символдық	символ:ROOT/дық:MORPH
болғаны	бол:ROOT/ған:MORPH/ы:MORPH
қыбырлаған	қыбыр:ROOT/ла:MORPH/ған:MORPH
бірдей	бір:ROOT/дей:MORPH
құралы	құрал:ROOT/ы:MORPH
Оның	О:ROOT/ның:MORPH
дәстүріне	дәс:ROOT/түр:MORPH/і:MORPH/не:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
мақсат	мақсат:ROOT
пікірін	пікір:ROOT/ін:MORPH
бастаса	бас:ROOT/та:MORPH/са:MORPH
ұғымын	ұғым:ROOT/ы:MORPH/н:MORPH
мен	мен:ROOT
Платонның	Платон:ROOT/ның:MORPH
бағытталған	бағыт:ROOT/тал:MORPH/ған:MORPH
емес	емес:ROOT
Нағыз	Нағыз:ROOT
кітапқа	кітап:ROOT/қа:MORPH
не	не:ROOT
адамды	адам:ROOT/ды:MORPH
жете	жет:ROOT/е:MORPH
тудырмайтын	ту:ROOT/дыр:MORPH/ма:MORPH/йтын:MORPH
ұғымының	ұғым:ROOT/ы:MORPH/ның:MORPH
Мысалы	Мысалы:ROOT
бермейді	бер:ROOT/ме:MORPH/й:MORPH/ді:MORPH
ықпалға	ық:ROOT/пал:MORPH/ға:MORPH
заңның	заң:ROOT/ның:MORPH
және	және:ROOT
ұстанған	ұстан:ROOT/ған:MORPH
құрастыру	құр:ROOT/ас:MORPH/тыр:MORPH/у:MORPH
Эриксимахпен	Эриксимахп:ROOT/ен:MORPH
Философ	Философ:ROOT
бірінші	бір:ROOT/інші:MORPH
нықтай	нық:ROOT/тай:MORPH
бастамасы	баста:ROOT/ма:MORPH/сы:MORPH
өзіне	өз:ROOT/і:MORPH/не:MORPH
кешке	кеш:ROOT/ке:MORPH
анықтайтын	анық:ROOT/та:MORPH/йтын:MORPH
құдай	құдай:ROOT
төлтума	төлтума:ROOT
сақтаушы	сақта:ROOT/у:MORPH/шы:MORPH
немесе	немесе:ROOT
формада	форма:ROOT/да:MORPH
айтуымызға	айт:ROOT/у:MORPH/ымыз:MORPH/ға:MORPH
қырынан	қыр:ROOT/ы:MORPH/нан:MORPH
сұхбат	сұхбат:ROOT
әдіснамалық	әдіс:ROOT/нама:MORPH/лық:MORPH
жарысына	жарыс:ROOT/ы:MORPH/на:MORPH
теориясы	теория:ROOT/сы:MORPH
Оның	О:ROOT/ның:MORPH
Купердің	Купер:ROOT/дің:MORPH
шыңы	шың:ROOT/ы:MORPH
ең	ең:ROOT
шындығынан	шындығ:ROOT/ы:MORPH/нан:MORPH
дәрігері	дәрі:ROOT/гер:MORPH/і:MORPH
нақтылай	нақты:ROOT/лай:MORPH
ұғынатын	ұғын:ROOT/атын:MORPH
түсті	түс:ROOT/ті:MORPH
жүзінде	жүз:ROOT/і:MORPH/н:MORPH/де:MORPH
бастап	баста:ROOT/п:MORPH
қуаты	қуат:ROOT/ы:MORPH
қалыпты	қалып:ROOT/ты:MORPH
сипат	сипат:ROOT
қауым	қауым:ROOT
бәрінен	бәрі:ROOT/нен:MORPH
Ақын	Ақын:ROOT
көп	көп:ROOT
болады	бол:ROOT/а:MORPH/ды:MORPH
болып	бол:ROOT/ып:MORPH
досы	досы:ROOT
та	та:ROOT
атымен	ат:ROOT/ы:MORPH/мен:MORPH
болудың	бол:ROOT/у:MORPH/дың:MORPH
есептейді	есеп:ROOT/те:MORPH/й:MORPH/ді:MORPH
нәтижесінде	нәтиже:ROOT/сі:MORPH/н:MORPH/де:MORPH
жалғыздығына	жалғыз:ROOT/дығ:MORPH/ы:MORPH/на:MORPH
әлеміне	әлем:ROOT/і:MORPH/не:MORPH
келісімшарттар	келісім:ROOT/шарт:MORPH/тар:MORPH
аузына	ауз:ROOT/ы:MORPH/на:MORPH
Бұған	Бұ:ROOT/ған:MORPH
білігін	біл:ROOT/іг:MORPH/ін:MORPH
одан	о:ROOT/дан:MORPH
VI	VI:ROOT
да	да:ROOT
қабылданғанға	қабыл:ROOT/дан:MORPH/ған:MORPH/ға:MORPH
ұстаным	ұстаным:ROOT
шәкірт	шәкірт:ROOT
салу	сал:ROOT/у:MORPH
ұғынуға	ұғын:ROOT/у:MORPH/ға:MORPH
тек	тек:ROOT
Билік	Би:ROOT/лік:MORPH
диалогтармен	диалог:ROOT/тар:MORPH/мен:MORPH
орынды	орын:ROOT/ды:MORPH
алмайды	ал:ROOT/ма:MORPH/й:MORPH/ды:MORPH
қасиеттер	қасиет:ROOT/тер:MORPH
өнер	өнер:ROOT
Осы	Осы:ROOT
тұжырымдамасының	тұжырымдама:ROOT/сы:MORPH/ның:MORPH
келіп	кел:ROOT/іп:MORPH
Платон	Платон:ROOT
ынтызар	ынтызар:ROOT
деген	де:ROOT/ген:MORPH
тәжірибелер	тәжірибе:ROOT/лер:MORPH
дулы	ду:ROOT/лы:MORPH
аттанады	аттан:ROOT/а:MORPH/ды:MORPH
олардың	о:ROOT/лар:MORPH/дың:MORPH
арқасында	арқа:ROOT/сы:MORPH/н:MORPH/да:MORPH
мысқылмен	мысқыл:ROOT/мен:MORPH
шарттар	шарт:ROOT/тар:MORPH
қарымқатынасқа	қарымқатынас:ROOT/қа:MORPH
байыптауға	байып:ROOT/та:MORPH/у:MORPH/ға:MORPH
адамның	адам:ROOT/ның:MORPH
ойлаймын	ой:ROOT/ла:MORPH/й:MORPH/мын:MORPH
Платонның	Платон:ROOT/ның:MORPH
дұрыс	дұрыс:ROOT
жағынан	жағ:ROOT/ы:MORPH/нан:MORPH
рефлексия	рефлексия:ROOT
философ	философ:ROOT
түстер	түс:ROOT/тер:MORPH
адамдарды	адам:ROOT/дар:MORPH/ды:MORPH
туралы	туралы:ROOT
жүйесіне	жүйе:ROOT/сі:MORPH/не:MORPH
салатынын	сал:ROOT/атын:MORPH/ы:MORPH/н:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
жарқын	жарқ:ROOT/ын:MORPH
бойынша	бойын:ROOT/ша:MORPH
қайшылық	қайшы:ROOT/лық:MORPH
әкетуге	әкет:ROOT/у:MORPH/ге:MORPH
Павсаний	Павсаний:ROOT
мәселелерін	мәселе:ROOT/лер:MORPH/ін:MORPH
келген	кел:ROOT/ген:MORPH
Алкивиад	Алкивиад:ROOT
рационалды	рационал:ROOT/ды:MORPH
тілмен	тіл:ROOT/мен:MORPH
көру	көр:ROOT/у:MORPH
оның	о:ROOT/ның:MORPH
ілімінің	ілім:ROOT/і:MORPH/нің:MORPH
реттелген	рет:ROOT/тел:MORPH/ген:MORPH
фигура	фигура:ROOT
түсіндіруден	түсін:ROOT/дір:MORPH/у:MORPH/ден:MORPH
көмектеседі	көмек:ROOT/тес:MORPH/е:MORPH/ді:MORPH
бойынша	бой:ROOT/ы:MORPH/н:MORPH/ша:MORPH
логикалық	логика:ROOT/лық:MORPH
барлық	барлық:ROOT
бермек	бер:ROOT/мек:MORPH
тұшымды	тұшым:ROOT/ды:MORPH
термин	термин:ROOT
өзара	өзара:ROOT
мен	мен:ROOT
тек	тек:ROOT
надан	надан:ROOT
астындағы	аст:ROOT/ы:MORPH/н:MORPH/да:MORPH/ғы:MORPH
Егер	Егер:ROOT
тигеннен	тиген:ROOT/нен:MORPH
Сократ	Сократ:ROOT
сын	сын:ROOT
Алуан	Алуан:ROOT
тартып	тарт:ROOT/ып:MORPH
шығарған	шығар:ROOT/ған:MORPH
біледі	біл:ROOT/е:MORPH/ді:MORPH
мәселелері	мәселе:ROOT/лер:MORPH/і:MORPH
эстетика	эстетика:ROOT
дейтін	де:ROOT/йтін:MORPH
Диалогтың	Диалог:ROOT/тың:MORPH
оймен	ой:ROOT/мен:MORPH
комедиясының	комедия:ROOT/сы:MORPH/ның:MORPH
ұстанымның	ұстаным:ROOT/ның:MORPH
келісім	келіс:ROOT/ім:MORPH
fantasme	fantasme:ROOT
таным	тан:ROOT/ым:MORPH
үшін	үшін:ROOT
бірі	бір:ROOT/і:MORPH
Дегенмен	Дегенмен:ROOT
Бұл	Бұл:ROOT
іліммен	ілім:ROOT/мен:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
араласып	ара:ROOT/ла:MORPH/с:MORPH/ып:MORPH
күмән	күмән:ROOT
қызыл	қызыл:ROOT
шешімді	шеш:ROOT/ім:MORPH/ді:MORPH
табиғаты	табиғат:ROOT/ы:MORPH
мемлекеттік	мемлекет:ROOT/тік:MORPH
дейін	дейін:ROOT
көркем	көркем:ROOT
Агафонға	Агафон:ROOT/ға:MORPH
бар	бар:ROOT
деген	де:ROOT/ген:MORPH
ЖЛ	ЖЛ:ROOT
дәлелдеуге	дәлел:ROOT/де:MORPH/у:MORPH/ге:MORPH
ақиқатқа	ақиқат:ROOT/қа:MORPH
Аристофанның	Аристофан:ROOT/ның:MORPH
Бұл	Бұл:ROOT
сүйене	сүйен:ROOT/е:MORPH
шығарманың	шығ:ROOT/ар:MORPH/ма:MORPH/ның:MORPH
дегеніміз	деген:ROOT/іміз:MORPH
махаббаттың	махаббат:ROOT/тың:MORPH
ағылшын	ағылшын:ROOT
өлім	өл:ROOT/ім:MORPH
заңдары	заң:ROOT/дар:MORPH/ы:MORPH
бұл	бұл:ROOT
деген	де:ROOT/ген:MORPH
төніп	төн:ROOT/іп:MORPH
тәсілі	тәсіл:ROOT/і:MORPH
және	және:ROOT
бірден	бір:ROOT/ден:MORPH
өту	өт:ROOT/у:MORPH
және	және:ROOT
деп	деп:ROOT
түсіндіруге	түс:ROOT/ін:MORPH/дір:MORPH/у:MORPH/ге:MORPH
құдіреті	құдірет:ROOT/і:MORPH
та	та:ROOT
философтардың	философ:ROOT/тар:MORPH/дың:MORPH
жылы	жыл:ROOT/ы:MORPH
ғасыр	ғасыр:ROOT
керемет	керемет:ROOT
үшін	үшін:ROOT
пайымның	пайым:ROOT/ның:MORPH
Декарттың	Декарт:ROOT/тың:MORPH
өз	өз:ROOT
анықтап	анық:ROOT/та:MORPH/п:MORPH
қол	қол:ROOT
айтылады	айт:ROOT/ыл:MORPH/а:MORPH/ды:MORPH
тб	тб:ROOT
Ұстазы	Ұстаз:ROOT/ы:MORPH
екіұдай	екі:ROOT/ұдай:MORPH
Ойлаймын	Ой:ROOT/ла:MORPH/й:MORPH/мын:MORPH
сөзі	сөз:ROOT/і:MORPH
теңесе	тең:ROOT/ес:MORPH/е:MORPH
тәнге	тән:ROOT/ге:MORPH
жәрдем	жәрдем:ROOT
Әлемді	Әлем:ROOT/ді:MORPH
мен	мен:ROOT
Аугустин	Аугустин:ROOT
қаузап	қауза:ROOT/п:MORPH
соғатындай	соғ:ROOT/атын:MORPH/дай:MORPH
өре	өр:ROOT/е:MORPH
канцлер	канцлер:ROOT
әрекетінен	әрекет:ROOT/і:MORPH/нен:MORPH
қазасы	қазас:ROOT/ы:MORPH
шешен	шешен:ROOT
